SampleID	Stage	Reads
D02_110SI_1100PR_042024_SI_IX_S421_L006	OutputPostprocessing	1591984
D03_110SI_1250PR_042024_SI_IX_S422_L006	Input	2052218
D03_110SI_1250PR_042024_SI_IX_S422_L006	No Dimers	2047488
D03_110SI_1250PR_042024_SI_IX_S422_L006	Amplicons	2040222
D03_110SI_1250PR_042024_SI_IX_S422_L006	OutputDada2	1797100
D03_110SI_1250PR_042024_SI_IX_S422_L006	OutputPostprocessing	1711004
D04_110SI_11000PR_042024_SI_IX_S423_L006	Input	2300686
D04_110SI_11000PR_042024_SI_IX_S423_L006	No Dimers	2295063
D04_110SI_11000PR_042024_SI_IX_S423_L006	Amplicons	2287993
D04_110SI_11000PR_042024_SI_IX_S423_L006	OutputDada2	2005246
D04_110SI_11000PR_042024_SI_IX_S423_L006	OutputPostprocessing	1888867
D05_110SI_12000PR_042024_SI_IX_S424_L006	Input	1858720
D05_110SI_12000PR_042024_SI_IX_S424_L006	No Dimers	1851961
D05_110SI_12000PR_042024_SI_IX_S424_L006	Amplicons	1845958
D05_110SI_12000PR_042024_SI_IX_S424_L006	OutputDada2	1621839
D05_110SI_12000PR_042024_SI_IX_S424_L006	OutputPostprocessing	1541150
D06_0SI_110PR_042024_SI_IX_S425_L006	Input	2125683
D06_0SI_110PR_042024_SI_IX_S425_L006	No Dimers	2122522
D06_0SI_110PR_042024_SI_IX_S425_L006	Amplicons	2115586
D06_0SI_110PR_042024_SI_IX_S425_L006	OutputDada2	1851074
D06_0SI_110PR_042024_SI_IX_S425_L006	OutputPostprocessing	1738514
D07_Neg_110SI_110PR_042024_SI_IX_S426_L006	Input	2164674
D07_Neg_110SI_110PR_042024_SI_IX_S426_L006	No Dimers	2144118
D07_Neg_110SI_110PR_042024_SI_IX_S426_L006	Amplicons	2127782
D07_Neg_110SI_110PR_042024_SI_IX_S426_L006	OutputDada2	19
D07_Neg_110SI_110PR_042024_SI_IX_S426_L006	OutputPostprocessing	19
D08_0SI_0PR_042024_SI_IX_S427_L006	Input	1793125
D08_0SI_0PR_042024_SI_IX_S427_L006	No Dimers	1789013
D08_0SI_0PR_042024_SI_IX_S427_L006	Amplicons	1782703
D08_0SI_0PR_042024_SI_IX_S427_L006	OutputDada2	1549887
D08_0SI_0PR_042024_SI_IX_S427_L006	OutputPostprocessing	1466497
E01_11SI_110PR_042024_SI_IX_S428_L006	Input	2660739
E01_11SI_110PR_042024_SI_IX_S428_L006	No Dimers	2618591
E01_11SI_110PR_042024_SI_IX_S428_L006	Amplicons	2598799
E01_11SI_110PR_042024_SI_IX_S428_L006	OutputDada2	731
E01_11SI_110PR_042024_SI_IX_S428_L006	OutputPostprocessing	705
E02_11SI_1100PR_042024_SI_IX_S429_L006	Input	1578925
E02_11SI_1100PR_042024_SI_IX_S429_L006	No Dimers	1563055
E02_11SI_1100PR_042024_SI_IX_S429_L006	Amplicons	1557204
E02_11SI_1100PR_042024_SI_IX_S429_L006	OutputDada2	1229341
E02_11SI_1100PR_042024_SI_IX_S429_L006	OutputPostprocessing	1173122
E03_11SI_1250PR_042024_SI_IX_S430_L006	Input	2910475
E03_11SI_1250PR_042024_SI_IX_S430_L006	No Dimers	2901588
E03_11SI_1250PR_042024_SI_IX_S430_L006	Amplicons	2892313
E03_11SI_1250PR_042024_SI_IX_S430_L006	OutputDada2	2517888
E03_11SI_1250PR_042024_SI_IX_S430_L006	OutputPostprocessing	2367165
E04_11SI_11000PR_042024_SI_IX_S431_L006	Input	2228976
E04_11SI_11000PR_042024_SI_IX_S431_L006	No Dimers	2216440
E04_11SI_11000PR_042024_SI_IX_S431_L006	Amplicons	2208963
E04_11SI_11000PR_042024_SI_IX_S431_L006	OutputDada2	1916884
E04_11SI_11000PR_042024_SI_IX_S431_L006	OutputPostprocessing	1804061
E05_11SI_12000PR_042024_SI_IX_S432_L006	Input	2533520
E05_11SI_12000PR_042024_SI_IX_S432_L006	No Dimers	2521539
E05_11SI_12000PR_042024_SI_IX_S432_L006	Amplicons	2512966
E05_11SI_12000PR_042024_SI_IX_S432_L006	OutputDada2	2169082
E05_11SI_12000PR_042024_SI_IX_S432_L006	OutputPostprocessing	2016698
E06_0SI_110PR_042024_SI_IX_S433_L006	Input	1992679
E06_0SI_110PR_042024_SI_IX_S433_L006	No Dimers	1985104
E06_0SI_110PR_042024_SI_IX_S433_L006	Amplicons	1977522
E06_0SI_110PR_042024_SI_IX_S433_L006	OutputDada2	1703240
E06_0SI_110PR_042024_SI_IX_S433_L006	OutputPostprocessing	1591835
E07_Neg_11SI_110PR_042024_SI_IX_S434_L006	Input	2665044
E07_Neg_11SI_110PR_042024_SI_IX_S434_L006	No Dimers	2638103
E07_Neg_11SI_110PR_042024_SI_IX_S434_L006	Amplicons	2618631
E07_Neg_11SI_110PR_042024_SI_IX_S434_L006	OutputDada2	68
E07_Neg_11SI_110PR_042024_SI_IX_S434_L006	OutputPostprocessing	68
E08_0SI_0PR_042024_SI_IX_S435_L006	Input	2283488
E08_0SI_0PR_042024_SI_IX_S435_L006	No Dimers	2278896
E08_0SI_0PR_042024_SI_IX_S435_L006	Amplicons	2271223
E08_0SI_0PR_042024_SI_IX_S435_L006	OutputDada2	1968509
E08_0SI_0PR_042024_SI_IX_S435_L006	OutputPostprocessing	1845186
F01_110SI_110PR_042024_SI_IX_S436_L006	Input	2715579
F01_110SI_110PR_042024_SI_IX_S436_L006	No Dimers	2616015
F01_110SI_110PR_042024_SI_IX_S436_L006	Amplicons	2595640
F01_110SI_110PR_042024_SI_IX_S436_L006	OutputDada2	1207
F01_110SI_110PR_042024_SI_IX_S436_L006	OutputPostprocessing	1143
F02_110SI_1100PR_042024_SI_IX_S437_L006	Input	2425319
F02_110SI_1100PR_042024_SI_IX_S437_L006	No Dimers	2396238
F02_110SI_1100PR_042024_SI_IX_S437_L006	Amplicons	2387276
